VCD info: dumpfile sim/i2c_simulation.vcd opened for output.
[I2C Testbench] Iniciando simulación...
Time=0 ns | SDA=1 SCL=1 | M_State=0 S_State=0 | cmd_valid=0 cmd_ready=1 busy=0 bus_active=0 | RegAddr=00 S_Shift=00000000
Time=60210 ns | SDA=1 SCL=0 | M_State=1 S_State=0 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=21 S_Shift=01001010
Time=60710 ns | SDA=1 SCL=1 | M_State=1 S_State=0 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=21 S_Shift=01001010
Time=61210 ns | SDA=0 SCL=1 | M_State=1 S_State=0 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=21 S_Shift=01001010
Time=61250 ns | SDA=0 SCL=1 | M_State=1 S_State=1 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=21 S_Shift=01001010
Time=61710 ns | SDA=0 SCL=0 | M_State=2 S_State=1 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=21 S_Shift=01001010
Time=62210 ns | SDA=1 SCL=0 | M_State=2 S_State=1 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=21 S_Shift=01001010
Time=62710 ns | SDA=1 SCL=1 | M_State=2 S_State=1 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=21 S_Shift=01001010
Time=62750 ns | SDA=1 SCL=1 | M_State=2 S_State=1 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=21 S_Shift=10010101
Time=63710 ns | SDA=1 SCL=0 | M_State=2 S_State=1 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=21 S_Shift=10010101
Time=64210 ns | SDA=0 SCL=0 | M_State=2 S_State=1 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=21 S_Shift=10010101
Time=64710 ns | SDA=0 SCL=1 | M_State=2 S_State=1 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=21 S_Shift=10010101
Time=64750 ns | SDA=0 SCL=1 | M_State=2 S_State=1 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=21 S_Shift=00101010
Time=65710 ns | SDA=0 SCL=0 | M_State=2 S_State=1 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=21 S_Shift=00101010
Time=66210 ns | SDA=1 SCL=0 | M_State=2 S_State=1 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=21 S_Shift=00101010
Time=66710 ns | SDA=1 SCL=1 | M_State=2 S_State=1 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=21 S_Shift=00101010
Time=66750 ns | SDA=1 SCL=1 | M_State=2 S_State=1 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=21 S_Shift=01010101
Time=67710 ns | SDA=1 SCL=0 | M_State=2 S_State=1 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=21 S_Shift=01010101
Time=68210 ns | SDA=0 SCL=0 | M_State=2 S_State=1 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=21 S_Shift=01010101
Time=68710 ns | SDA=0 SCL=1 | M_State=2 S_State=1 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=21 S_Shift=01010101
Time=68750 ns | SDA=0 SCL=1 | M_State=2 S_State=1 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=21 S_Shift=10101010
Time=69710 ns | SDA=0 SCL=0 | M_State=2 S_State=1 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=21 S_Shift=10101010
Time=70710 ns | SDA=0 SCL=1 | M_State=2 S_State=1 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=21 S_Shift=10101010
